5/1/2023,APPLE.COM/BILL           866-712-7753 ON  (APPLE PAY) ,-1.46,,,,
5/1/2023,          FROM - *****04*6728 ,173,,,,
5/6/2023,POPEYES 11159            CAMBRIDGE    ON  (APPLE PAY) ,-3.97,,,,
5/6/2023,ZEHRS S CAMBRIDGE #576   CAMBRIDGE    ON  (APPLE PAY) ,-9.03,,,,
5/6/2023,POPEYES 11159            CAMBRIDGE    ON  (APPLE PAY) ,-9.59,,,,
5/6/2023,UBER* TRIP               TORONTO      ON ,-19.41,,,,
5/8/2023, SCOTIABANK TRANSIT 84822 CAMBRIDGE    ON ,63.71,,,,
5/8/2023,Amazon.ca Prime Member   amazon.ca/priBC ,-5.64,,,,
5/8/2023,UBER CANADA/UBERTRIP     TORONTO      ON ,-6.78,,,,
5/8/2023,D2D GROUP ONEX BUS       BRAMPTON     ON ,-90.42,,,,
5/9/2023,UCC TIM'S UPPER          LONDON       ON  (APPLE PAY) ,-7.33,,,,
5/9/2023,MCDONALDS'S #40289       KITCHENER    ON  (APPLE PAY) ,-6.76,,,,
5/10/2023,UCC TIM'S UPPER          LONDON       ON  (APPLE PAY) ,-2.82,,,,
5/10/2023,UCC TIM'S UPPER          LONDON       ON  (APPLE PAY) ,-6.54,,,,
5/11/2023,TIM HORTONS #0457        CAMBRIDGE    ON ,-6.54,,,,
5/11/2023,TIM HORTONS #0009        CAMBRIDGE    ON  (APPLE PAY) ,-10.47,,,,
5/12/2023,SCOTIA SCCP PREMIUM ,-4.68,,,,
5/12/2023,SHOPPERS DRUG MART #72   CAMBRIDGE    ON  (APPLE PAY) ,-30.5,,,,
5/12/2023, AMZ*Laptop Charger Dir   WWW.AMAZON.CAON ,31.63,,,,
5/12/2023, AMZ*Brands Inn           WWW.AMAZON.CAON ,35.02,,,,
5/13/2023,FOOD BASICS  633         CAMBRIDGE    ON  (APPLE PAY) ,-1.12,,,,
5/14/2023,POPEYES 11159            CAMBRIDGE    ON  (APPLE PAY) ,-9.03,,,,
5/14/2023,POPEYES 11159            CAMBRIDGE    ON  (APPLE PAY) ,-9.03,,,,
5/14/2023,MANDARIN KITCHENER       KITCHENER    ON  (APPLE PAY) ,-42.93,,,,
5/14/2023,FIDO Mobile ******7202   888-481-3436 ON ,-65.54,,,,
5/15/2023,MCDONALD'S #25001        CAMBRIDGE    ON  (APPLE PAY) ,-6.31,,,,
5/15/2023,WAL-MART SUPERCENTER#3152CAMBRIDGE    ON  (APPLE PAY) ,-32.42,,,,
5/15/2023,TIM HORTONS #2245        CAMBRIDGE    ON  (APPLE PAY) ,-10.26,,,,
5/15/2023,CDN TIRE STORE #00168    CAMBRIDGE    ON  (APPLE PAY) ,-101.69,,,,
5/15/2023,          FROM - *****04*6728 ,170,,,,
5/16/2023, AMZ*Worveworld-Direct    WWW.AMAZON.CAON ,8.81,,,,
5/17/2023,TIM HORTONS #0770        CAMBRIDGE    ON  (APPLE PAY) ,-5.06,,,,
5/19/2023,TIM HORTONS #0770        CAMBRIDGE    ON  (APPLE PAY) ,-1.56,,,,
5/19/2023,TIM HORTONS #0770        CAMBRIDGE    ON  (APPLE PAY) ,-2.61,,,,
5/20/2023,POPEYE'S SUPPLEMENTS - CACAMBRIDGE    ON  (APPLE PAY) ,-45.19,,,,
5/22/2023,MCDONALD'S #11019        CAMBRIDGE    ON  (APPLE PAY) ,-6.76,,,,
5/22/2023,MCDONALD'S #2245         CAMBRIDGE    ON  (APPLE PAY) ,-8.44,,,,
5/23/2023,APPLE.COM/BILL           866-712-7753 ON  (APPLE PAY) ,-13.55,,,,
5/23/2023,AMZN Mktp CA*YC8699XV3   WWW.AMAZON.CAON ,-8.18,,,,
5/24/2023,TIM HORTONS #0770        CAMBRIDGE    ON  (APPLE PAY) ,-1.56,,,,
5/24/2023,TIM HORTONS #0770        CAMBRIDGE    ON  (APPLE PAY) ,-7.66,,,,
5/25/2023,RMOW GRT (OV)            519-575-4400 ON ,-15,,,,
5/26/2023,          FROM - *****04*6728 ,150,,,,
5/27/2023,PAYPAL *SPOTIFY          35314369001 ,-5.64,,,,
5/27/2023,MCDONALD'S #14879  Q04   MISSISSAUGA  ON  (APPLE PAY) ,-11.27,,,,
5/29/2023,Subway 4393              Kitchener    ON  (APPLE PAY) ,-10.16,,,,
5/31/2023,APPLE.COM/BILL           TORONTO      ON  (APPLE PAY) ,-1.46,,,,
